Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
062930063;10/20/2006;09:13 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2458 W CAPITOL DR
062930083;10/20/2006;09:17 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4205 W LANCASTER AV #LOWER
062930087;10/20/2006;10:25 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;7039 N TEUTONIA AV
062930120;10/20/2006;01:45 PM;4.0;MOTOR VEHICLE THEFT;;;;7442 N 39TH ST
062930123;10/20/2006;12:56 PM;7.0;SIMPLE ASSAULT;;;;4540 N TEUTONIA AV #3
062930124;10/20/2006;12:15 PM;4.0;ALL OTHER LARCENY;;;;4022 W TUPELO ST
062930125;10/20/2006;12:15 PM;4.0;ALL OTHER LARCENY;;;;4010 W TUPELO ST
062930132;10/20/2006;01:16 PM;4.0;MOTOR VEHICLE THEFT;;;;6162 N 35TH ST
062930147;10/20/2006;03:34 PM;4.0;ALL OTHER LARCENY;;;;6680 N TEUTONIA AV
062930156;10/20/2006;04:29 PM;5.0;MOTOR VEHICLE THEFT;;;;4360 N GREEN BAY AV
062930192;10/20/2006;05:19 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2526 W HAMPTON AV #A
062930195;10/20/2006;04:40 PM;7.0;AGGRAVATED ASSAULT;;;;3615 W VILLARD AV
062930203;10/20/2006;08:12 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3622 W HAMPTON AV
062930214;10/20/2006;07:40 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2128 W ATKINSON AV
062930219;10/20/2006;09:19 PM;7.0;SHOPLIFTING;;;;2222 W CAPITOL DR
062930234;10/20/2006;09:34 PM;4.0;MOTOR VEHICLE THEFT;;;;4015 W CHEYENNE ST
062930235;10/20/2006;11:48 PM;7.0;MOTOR VEHICLE THEFT;;;;4525 N 27TH ST
062940004;10/20/2006;10:01 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4586 N TEUTONIA AV
062940018;10/20/2006;11:23 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5516 N 31ST ST #1
062920028;10/19/2006;04:45 AM;4.0;MOTOR VEHICLE THEFT;;;;3724 W FLORIST AV
062920034;10/19/2006;06:21 AM;7.0;AGGRAVATED ASSAULT;;;;4557 N 28TH ST
062920035;10/19/2006;06:01 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5400 N GREEN BAY AV
062920086;10/19/2006;12:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;1900 W FIEBRANTZ AV
062920105;10/19/2006;01:11 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;1614 W CONGRESS ST
062920116;10/19/2006;02:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4060 N 26TH ST
062920122;10/19/2006;01:35 PM;4.0;MOTOR VEHICLE THEFT;;;;4008 W VERA AV
062920126;10/19/2006;01:22 PM;5.0;MOTOR VEHICLE THEFT;;;;4071 N 12TH ST
062920132;10/19/2006;02:28 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2434 W ROOSEVELT DR
062920142;10/19/2006;04:59 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;1960 W ATKINSON AV
062920146;10/19/2006;05:07 PM;7.0;MOTOR VEHICLE THEFT;;;;1820 W HAMPTON AV
062920166;10/19/2006;04:16 PM;4.0;ROBBERY;;;;3820 W VILLARD AV
062920175;10/19/2006;06:22 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5683 N 34TH ST
062920179;10/19/2006;07:18 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3500 W MOTHER DANIELS WA
